n.name,a.name,b.name,c.name,d.name,z.name
ATOM,KUJI,USK,wETH,axlUSDC,OSMO
ATOM,axlUSDC,USK,wETH,axlUSDC,OSMO
ATOM,axlUSDC,USK,KUJI,axlUSDC,OSMO
ATOM,KUJI,USK,DOT,axlUSDC,OSMO
ATOM,axlUSDC,USK,DOT,axlUSDC,OSMO
ATOM,KUJI,USK,SCRT,axlUSDC,OSMO
ATOM,axlUSDC,USK,SCRT,axlUSDC,OSMO
ATOM,KUJI,USK,ATOM,axlUSDC,OSMO
ATOM,axlUSDC,USK,ATOM,axlUSDC,OSMO
ATOM,USK,KUJI,ATOM,axlUSDC,OSMO
ATOM,axlUSDC,KUJI,ATOM,axlUSDC,OSMO
ATOM,KUJI,LP KUJI-ATOM,ATOM,axlUSDC,OSMO
ATOM,KUJI,USK,STARS,axlUSDC,OSMO
ATOM,axlUSDC,USK,STARS,axlUSDC,OSMO
ATOM,axlUSDC,JUNO,USK,axlUSDC,OSMO
ATOM,axlUSDC,SCRT,USK,axlUSDC,OSMO
ATOM,axlUSDC,DOT,USK,axlUSDC,OSMO
ATOM,axlUSDC,STARS,USK,axlUSDC,OSMO
ATOM,axlUSDC,wETH,USK,axlUSDC,OSMO
ATOM,axlUSDC,KUJI,USK,axlUSDC,OSMO
ATOM,KUJI,USK,axlUSDC,OSMO
ATOM,USK,STARS,axlUSDC,OSMO
ATOM,USK,KUJI,axlUSDC,OSMO
ATOM,USK,DOT,axlUSDC,OSMO
ATOM,USK,wETH,axlUSDC,OSMO
ATOM,USK,SCRT,axlUSDC,OSMO
ATOM,KUJI,axlUSDC,OSMO
ATOM,USK,axlUSDC,OSMO
ATOM,axlUSDC,OSMO
